Ш (0.948);Щ (0.932);Н (0.914);М (0.904);Ю (0.890);И (0.886);Й (0.877);Ц (0.876);Ж (0.875);О (0.872);Ф (0.871);Ь (0.870);Ъ (0.852);Д (0.846);Ч (0.836);Э (0.834);А (0.834);Б (0.816);В (0.816);Х (0.815);Я (0.813);П (0.809);Л (0.796);К (0.793);З (0.783);Е (0.779);Ё (0.774);С (0.766);Р (0.764);У (0.758);Т (0.607);Г (0.565);I (0.553)
С (0.984);Ц (0.868);О (0.861);У (0.860);Д (0.851);Х (0.844);Ё (0.841);Э (0.830);Ъ (0.828);Л (0.818);З (0.816);Е (0.807);Й (0.804);П (0.801);А (0.798);К (0.792);Ю (0.786);Ь (0.781);Щ (0.780);Ч (0.776);Т (0.770);Б (0.770);Ш (0.759);Г (0.757);Н (0.755);Ж (0.751);Р (0.741);Ф (0.725);И (0.723);В (0.721);Я (0.715);М (0.707);I (0.491)
Ё (0.953);Е (0.940);К (0.923);Б (0.908);Й (0.868);Д (0.867);В (0.849);С (0.839);Ь (0.829);З (0.825);Х (0.821);О (0.818);Ц (0.816);Р (0.815);А (0.811);Э (0.810);И (0.798);П (0.792);Ф (0.790);Л (0.786);Щ (0.786);Ю (0.780);Я (0.776);Н (0.773);Ъ (0.772);У (0.772);Ж (0.769);М (0.766);Ш (0.754);Г (0.734);Ч (0.718);Т (0.710);I (0.636)
Л (0.988);Э (0.928);З (0.901);Д (0.897);Х (0.893);О (0.885);У (0.884);П (0.866);Ъ (0.861);Ч (0.860);Я (0.845);Ц (0.834);Ж (0.831);С (0.830);А (0.830);Й (0.822);Н (0.818);Щ (0.818);Ф (0.805);Ю (0.803);И (0.801);Е (0.793);Ш (0.791);Б (0.790);Т (0.788);К (0.785);Ё (0.783);М (0.783);Р (0.777);В (0.774);Ь (0.747);Г (0.652);I (0.548)
Ь (0.969);Й (0.893);Ё (0.853);А (0.847);Ц (0.846);К (0.841);Щ (0.837);Б (0.834);Д (0.828);Ш (0.818);Ф (0.817);Е (0.815);Ю (0.813);О (0.813);Ъ (0.809);И (0.808);В (0.804);Н (0.803);Х (0.802);Ж (0.799);М (0.797);Э (0.787);С (0.780);З (0.759);Р (0.754);У (0.741);Я (0.739);Ч (0.734);П (0.733);Л (0.730);Г (0.617);Т (0.604);I (0.550)
С (0.984);Ц (0.868);О (0.861);У (0.860);Д (0.851);Х (0.844);Ё (0.841);Э (0.830);Ъ (0.828);Л (0.818);З (0.816);Е (0.807);Й (0.804);П (0.801);А (0.798);К (0.792);Ю (0.786);Ь (0.781);Щ (0.780);Ч (0.776);Т (0.770);Б (0.770);Ш (0.759);Г (0.757);Н (0.755);Ж (0.751);Р (0.741);Ф (0.725);И (0.723);В (0.721);Я (0.715);М (0.707);I (0.491)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
Г (0.918);С (0.725);Т (0.717);Ё (0.693);Е (0.678);К (0.651);У (0.646);Р (0.624);Х (0.623);Д (0.622);П (0.619);О (0.616);Ц (0.615);Б (0.608);З (0.603);Л (0.600);Э (0.589);Й (0.584);А (0.581);Ъ (0.574);Ь (0.573);Ю (0.572);В (0.556);Щ (0.548);Ч (0.538);Ж (0.535);Н (0.535);Я (0.522);Ф (0.519);Ш (0.518);И (0.518);М (0.494);I (0.405)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
Х (0.972);Д (0.935);Э (0.928);У (0.922);А (0.916);Ъ (0.914);О (0.906);Л (0.887);Ц (0.884);З (0.882);Й (0.879);С (0.871);Ж (0.852);Ё (0.852);Щ (0.847);Ч (0.842);К (0.836);Е (0.829);Ф (0.828);П (0.828);Ю (0.827);Н (0.824);Ь (0.823);Б (0.816);Я (0.812);Ш (0.807);И (0.804);Р (0.794);В (0.785);М (0.784);Т (0.774);Г (0.684);I (0.527)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
З (0.965);Э (0.903);Д (0.889);Л (0.884);Х (0.860);У (0.843);Й (0.829);О (0.822);Ъ (0.821);А (0.818);С (0.815);Ё (0.804);Я (0.803);Ц (0.795);Б (0.794);Е (0.788);К (0.782);П (0.777);Ч (0.770);В (0.769);Ф (0.769);Т (0.767);Ж (0.766);И (0.765);Щ (0.760);Н (0.750);Ь (0.741);Ш (0.736);М (0.735);Ю (0.733);Р (0.723);Г (0.640);I (0.579)
Я (0.969);И (0.900);Ф (0.897);Л (0.881);Д (0.880);Э (0.878);Ж (0.876);В (0.871);М (0.868);З (0.862);Н (0.859);Й (0.855);Б (0.854);Х (0.854);П (0.851);О (0.842);Щ (0.840);А (0.836);Р (0.830);К (0.830);Е (0.824);Ч (0.817);Ъ (0.814);Ю (0.812);Ш (0.806);Ц (0.796);У (0.792);Ё (0.787);Ь (0.772);С (0.752);Т (0.706);I (0.636);Г (0.603)
Й (0.968);Д (0.944);А (0.910);Э (0.909);Х (0.896);Ф (0.890);О (0.887);Б (0.883);И (0.880);Щ (0.880);З (0.880);Ъ (0.877);Ь (0.876);Ц (0.876);Ж (0.872);К (0.869);В (0.862);Ё (0.862);Н (0.861);Я (0.855);М (0.854);Л (0.853);Е (0.852);Ш (0.848);Ю (0.841);У (0.823);С (0.817);П (0.817);Ч (0.815);Р (0.801);Т (0.691);Г (0.630);I (0.598)
С (0.984);Ц (0.868);О (0.861);У (0.860);Д (0.851);Х (0.844);Ё (0.841);Э (0.830);Ъ (0.828);Л (0.818);З (0.816);Е (0.807);Й (0.804);П (0.801);А (0.798);К (0.792);Ю (0.786);Ь (0.781);Щ (0.780);Ч (0.776);Т (0.770);Б (0.770);Ш (0.759);Г (0.757);Н (0.755);Ж (0.751);Р (0.741);Ф (0.725);И (0.723);В (0.721);Я (0.715);М (0.707);I (0.491)
Т (0.935);У (0.788);С (0.759);Г (0.757);Л (0.747);Х (0.738);З (0.735);Э (0.717);Д (0.714);Ё (0.697);П (0.694);О (0.694);Е (0.688);Ъ (0.680);А (0.673);К (0.669);Ц (0.665);Р (0.659);Ч (0.657);Й (0.643);Я (0.638);Б (0.638);Ж (0.628);Ю (0.616);Щ (0.612);Н (0.604);Ф (0.602);В (0.601);И (0.588);Ь (0.587);Ш (0.576);М (0.561);I (0.430)
Б (0.965);В (0.964);К (0.903);Е (0.890);Й (0.889);И (0.887);Ф (0.864);Ё (0.856);Д (0.854);Я (0.850);М (0.847);Ь (0.829);Р (0.825);З (0.817);Н (0.814);Щ (0.812);А (0.812);Э (0.809);Ж (0.808);О (0.800);Х (0.800);П (0.789);Ю (0.789);Ц (0.785);Ш (0.783);Л (0.782);Ъ (0.761);С (0.751);У (0.727);Ч (0.725);I (0.706);Т (0.646);Г (0.626)
А (0.983);Х (0.933);Д (0.911);Ъ (0.910);Й (0.909);Э (0.896);О (0.878);Ж (0.877);Ц (0.872);Ф (0.867);Щ (0.866);Ь (0.865);У (0.863);З (0.848);Ё (0.847);К (0.844);Л (0.839);Н (0.838);Ю (0.832);И (0.828);Б (0.825);Ч (0.825);Ш (0.822);Е (0.821);С (0.819);Я (0.816);М (0.809);В (0.802);П (0.794);Р (0.793);Т (0.713);Г (0.641);I (0.533)
